Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
10/1/23,FS *CAPTURE ONE     877-327-8914        CA,20,"I0_O3G0SS9Q3AC9610BA69D3D7E 93101
FS *CAPTURE ONE
877-327-8914
CA
3AC9610BA69D3D7E 93101",FS *CAPTURE ONE     877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,3.20233E+17,Merchandise & Supplies-Internet Purchase
10/1/23,STOP & SHOP         GLENDALE            NY,28.68,"845638     19               11385
STOP & SHOP
GLENDALE
NY
19               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
9/30/23,STOP & SHOP         GLENDALE            NY,24.53,"817220     126              11385
STOP & SHOP
GLENDALE
NY
126              11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
9/29/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23291304105 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/29/23,MOBILE PAYMENT - THANK YOU,-100,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,3.20233E+17,
9/28/23,AplPay DUNKIN #33170FOREST HILLS        NY,9.56,"23281551002 718-846-2371
AplPay DUNKIN #331708 Q35 3317
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-846-2371",AplPay DUNKIN #33170FOREST HILLS        NY,7167 YELLOWSTONE BLVD,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/26/23,STOP & SHOP         GLENDALE            NY,44.99,"862124     99               11385
STOP & SHOP
GLENDALE
NY
99               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
9/25/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23251230285 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/24/23,AplPay DD/BR #304484FLUSHING            NY,8.45,"23241203525 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/24/23,AplPay DD/BR #304484FLUSHING            NY,11.73,"23241203165 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/23/23,AplPay DD/BR #304484FLUSHING            NY,11.73,"23231238035 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/21/23,AplPay DD/BR #304484FLUSHING            NY,12.73,"23211055495 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/20/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23201219435 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/18/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23181306455 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/17/23,Amazon Prime                            WA,-15.89,"Amazon Prime
WA
",Amazon Prime                            WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20233E+17,Merchandise & Supplies-Mail Order
9/17/23,Amazon Prime        Amazon.com          WA,15.89,"5KLN9TRSSTU SUBSCRIPTION
Amazon Prime
Amazon.com
WA
SUBSCRIPTION",Amazon Prime        Amazon.com          WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20233E+17,Merchandise & Supplies-Mail Order
9/16/23,AplPay ANGIES MARKETFOREST HILLS        NY,16.65,"00001181    718-544-2828
AplPay ANGIES MARKET
FOREST HILLS
NY
Description : GROCERIES/SUNDRIES Price : 0.00
718-544-2828",AplPay ANGIES MARKETFOREST HILLS        NY,100 27 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
9/14/23,AplPay CVS PHARMACY FOREST HILLS        NY,15,"10118440    8007467287
AplPay CVS PHARMACY
FOREST HILLS
NY
Description : PHARMACIES Price : 0.15
8007467287",AplPay CVS PHARMACY FOREST HILLS        NY,9715 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Merchandise & Supplies-Pharmacies
9/13/23,AplPay DD/BR #304484FLUSHING            NY,5.44,"23131229365 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/12/23,Interest Charge on Pay Over Time Purchases,64.85,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.30913E+17,Fees & Adjustments-Fees & Adjustments
9/11/23,AplPay DD/BR #304484FLUSHING            NY,9.67,"23111200275 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/9/23,P.J. CLARKES        NEW YORK            NY,70.79,"00000010493 9176997445
P.J. CLARKES
NEW YORK
NY
Description : NO DATA SUBMITTED Price : 0.00
9176997445",P.J. CLARKES        NEW YORK            NY,915 3RD AVE,"NEW YORK
NY",10022-3767,UNITED STATES,3.20233E+17,Restaurant-Restaurant
9/9/23,TST* THE NAKED PIG 0NEW YORK            NY,19.32,"21105173253 RESTAURANT
TST* THE NAKED PIG 00067601
NEW YORK
NY
RESTAURANT",TST* THE NAKED PIG 0NEW YORK            NY,922 3RD AVE,"NEW YORK
NY",10022,UNITED STATES,3.20233E+17,Restaurant-Restaurant
9/8/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23081244295 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/7/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23071247255 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
9/7/23,MOBILE PAYMENT - THANK YOU,-100,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,3.20233E+17,
9/3/23,AplPay STARBUCKS STOFOREST HILLS        NY,10.12,"E0C01E4D74E FAST FOOD RESTAURANT
AplPay STARBUCKS STORE 0721
FOREST HILLS
NY
FAST FOOD RESTAURANT",AplPay STARBUCKS STOFOREST HILLS        NY,7000 AUSTIN ST,"FOREST HILLS
NY",11375,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
9/2/23,AplPay Arons KissenaFlushing            NY,24.07,"1149172924  ymwymw@gmail.com
AplPay Arons Kissena Farm
Flushing
NY
ymwymw@gmail.com",AplPay Arons KissenaFlushing            NY,7215 KISSENA BLVD,"FLUSHING
NY",11367,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
9/2/23,DD/BR #304484 Q35 30FLUSHING            NY,9.47,"23021210165 718-478-5407
DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",DD/BR #304484 Q35 30FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
9/1/23,AplPay DD/BR #304484FLUSHING            NY,9.47,"23011232285 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
9/1/23,FS *CAPTURE ONE     877-327-8914        CA,20,"AO2UMWHTTTW3AC9610BA69D3D7E 93101
FS *CAPTURE ONE
877-327-8914
CA
3AC9610BA69D3D7E 93101",FS *CAPTURE ONE     877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,3.20232E+17,Merchandise & Supplies-Internet Purchase
8/29/23,AplPay TST* BURRITO MIDDLE VILLAGE      NY,30.76,"21105173242 RESTAURANT
AplPay TST* BURRITO BLVD - MIDDL 00113595
MIDDLE VILLAGE
NY
RESTAURANT",AplPay TST* BURRITO MIDDLE VILLAGE      NY,7264 METROPOLITAN AVE,"MIDDLE VILLAGE
NY",11379,UNITED STATES,3.20232E+17,Restaurant-Restaurant
8/25/23,AplPay DD/BR #304484FLUSHING            NY,18.38,"23251233515 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/24/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23241242485 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/22/23,AplPay DD/BR #304484FLUSHING            NY,5.24,"23221248425 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/20/23,MCDONALD'S          FOREST HILLS        NY,13.46,"000010176   7189391881
MCDONALD'S
FOREST HILLS
NY
7189391881",MCDONALD'S          FOREST HILLS        NY,9801 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/19/23,ADAMS BAGELS & DELI REGO PARK           NY,20.37,"73011003232 AMIR.DARW@GMAIL.COM
ADAMS BAGELS & DELI 924600283026887
REGO PARK
NY
AMIR.DARW@GMAIL.COM",ADAMS BAGELS & DELI REGO PARK           NY,6356 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
8/19/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23191234065 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/17/23,Amazon Prime        Amazon.com          WA,15.89,"1NQUM0MZ3Z1 SUBSCRIPTION
Amazon Prime
Amazon.com
WA
SUBSCRIPTION",Amazon Prime        Amazon.com          WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20232E+17,Merchandise & Supplies-Mail Order
8/14/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23131556005 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/13/23,Interest Charge on Pay Over Time Purchases,60.85,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.30814E+17,Fees & Adjustments-Fees & Adjustments
8/12/23,AplPay DD/BR #304484FLUSHING            NY,9.47,"23121830445 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/9/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23091058335 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/8/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23081217445 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/7/23,DUNKIN #339943 Q35 3MASPETH             NY,4.56,"23071124066 516-472-7100
DUNKIN #339943 Q35 3399
MASPETH
NY
Description : FAST FOOD RESTAURAN Price : 0.00
516-472-7100",DUNKIN #339943 Q35 3MASPETH             NY,59-51 QUEENS MIDTOWN EXPE,"MASPETH
NY",11378,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/7/23,MOBILE PAYMENT - THANK YOU,-71.7,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,3.20232E+17,
8/5/23,AplPay DD/BR #304484FLUSHING            NY,7.5,"23051514305 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/4/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23041244375 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/3/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23031238515 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/2/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23021259455 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/1/23,AplPay DUNKIN #33045FOREST HILLS        NY,8.91,"23011437355 718-793-5785
AplPay DUNKIN #330459 Q35 3304
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-793-5785",AplPay DUNKIN #33045FOREST HILLS        NY,9712 METROPOLITAN AVE,"FOREST HILLS
NY",11375-6626,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
8/1/23,FS *CAPTURE ONE     877-327-8914        CA,20,"ZCXRNXODQCM3AC9610BA69D3D7E 93101
FS *CAPTURE ONE
877-327-8914
CA
3AC9610BA69D3D7E 93101",FS *CAPTURE ONE     877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,3.20232E+17,Merchandise & Supplies-Internet Purchase
7/31/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23311851325 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/30/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23301207315 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/30/23,AplPay KEY FOOD 2188REGO PARK           NY,22.74,"99999993212 9175484585
AplPay KEY FOOD 2188 000002188
REGO PARK
NY
Description : GROCERY STORES Price : 0.2274
9175484585",AplPay KEY FOOD 2188REGO PARK           NY,9202 63RD DR,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/29/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23291124445 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/28/23,AplPay ANGIES MARKETFOREST HILLS        NY,33.44,"00001624    718-544-2828
AplPay ANGIES MARKET
FOREST HILLS
NY
Description : GROCERIES/SUNDRIES Price : 0.00
718-544-2828",AplPay ANGIES MARKETFOREST HILLS        NY,100 27 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/26/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23260922315 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/24/23,AplPay DD/BR #304484FLUSHING            NY,13.9,"23241126465 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/23/23,ADAMS BAGELS & DELI REGO PARK           NY,17.83,"73011003204 AMIR.DARW@GMAIL.COM
ADAMS BAGELS & DELI 924600283026887
REGO PARK
NY
AMIR.DARW@GMAIL.COM",ADAMS BAGELS & DELI REGO PARK           NY,6356 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/23/23,ANGIES MARKET       FOREST HILLS        NY,31.79,"00001248    718-544-2828
ANGIES MARKET
FOREST HILLS
NY
Description : GROCERIES/SUNDRIES Price : 0.00
718-544-2828",ANGIES MARKET       FOREST HILLS        NY,100 27 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/23/23,AplPay DUNKIN #33045FOREST HILLS        NY,4.45,"23231221525 718-793-5785
AplPay DUNKIN #330459 Q35 3304
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-793-5785",AplPay DUNKIN #33045FOREST HILLS        NY,9712 METROPOLITAN AVE,"FOREST HILLS
NY",11375-6626,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/23/23,DD/BR #304484 Q35 30FLUSHING            NY,4.24,"23230823055 718-478-5407
DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",DD/BR #304484 Q35 30FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/22/23,AplPay 7-ELEVEN 2993REGO PARK           NY,15.53,"120690723 7 718-459-0403
AplPay 7-ELEVEN 29937 00072993701
REGO PARK
NY
Description : GAS/MSC97  12693701 Price : 0.1553
718-459-0403",AplPay 7-ELEVEN 2993REGO PARK           NY,"CITY PLACE CTR EAST
2711 NORTH HASKELL AVE","DALLAS
TX",75204,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/22/23,AplPay DD/BR #304484FLUSHING            NY,21.08,"23221108575 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/21/23,AplPay DD/BR #304484FLUSHING            NY,11.46,"23211238565 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/20/23,AplPay DD/BR #304484FLUSHING            NY,10.91,"23201116155 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/19/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23191323025 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/18/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23181135215 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/17/23,ADAMS BAGELS & DELI REGO PARK           NY,7.28,"73011003198 AMIR.DARW@GMAIL.COM
ADAMS BAGELS & DELI 924600283026887
REGO PARK
NY
AMIR.DARW@GMAIL.COM",ADAMS BAGELS & DELI REGO PARK           NY,6356 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Merchandise & Supplies-Groceries
7/17/23,Amazon Prime        Amazon.com          WA,15.89,"6XK9TO25PE4 SUBSCRIPTION
Amazon Prime
Amazon.com
WA
SUBSCRIPTION",Amazon Prime        Amazon.com          WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20232E+17,Merchandise & Supplies-Mail Order
7/17/23,AplPay DD/BR #304484FLUSHING            NY,12.71,"23171041485 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/16/23,AplPay DD/BR #304484FLUSHING            NY,28.11,"23161130155 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/14/23,AplPay DD/BR #304484FLUSHING            NY,7.5,"23140847215 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/14/23,MCDONALD'S F1159 000EAST ELMHURST       NY,9.56,"000014338   7188987437
MCDONALD'S F1159 000000000235623
EAST ELMHURST
NY
7188987437",MCDONALD'S F1159 000EAST ELMHURST       NY,8805 ASTORIA BLVD,"EAST ELMHURST
NY",11369,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/13/23,AplPay DD/BR #304484FLUSHING            NY,20.42,"23131119315 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
7/13/23,Interest Charge on Pay Over Time Purchases,49.69,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.30714E+17,Fees & Adjustments-Fees & Adjustments
7/12/23,AplPay WENDY'S #3115REGO PARK           NY,21.32,"1003020300410030203004      11374
FAST FOOD REST.
AplPay WENDY'S #3115 000003115
REGO PARK
NY
FAST FOOD REST.
10030203004      11374",AplPay WENDY'S #3115REGO PARK           NY,90 13 METROPOLITAN,"REGO PARK
NY",11374,UNITED STATES,3.20232E+17,Restaurant-Bar & Café
